sample	chrom	seed	gens
5G1	1	 623697330	2
5G1	1	 995094403	2
5G1	1	3051976227	2
5G1	10	 912340695	2
5G1	10	2888232036	2
5G1	10	4169062087	2
5G1	2	1968904311	2
5G1	2	1722382754	2
5G1	2	1116328416	2
5G1	3	2241462093	2
5G1	3	3984012578	2
5G1	3	4141807244	2
5G1	4	 698408754	2
5G1	4	  17289784	2
5G1	4	3206109172	2
5G1	5	3229983079	2
5G1	5	 624391449	2
5G1	5	3743727387	2
5G1	6	1458418232	2
5G1	6	2645507660	2
5G1	6	1274630105	2
5G1	7	1877453053	2
5G1	7	3339883921	2
5G1	7	2380046194	2
5G1	8	3750866290	2
5G1	8	3878729501	2
5G1	8	 238379102	2
5G1	9	3399592996	2
5G1	9	2014941494	2
5G1	9	3837624458	2
5H6	1	4221732422	2
5H6	1	3317757405	2
5H6	1	 664253130	2
5H6	10	1867199527	2
5H6	10	1886923832	2
5H6	10	 858539103	2
5H6	2	1647692266	2
5H6	2	2360685786	2
5H6	2	3323184236	2
5H6	3	2412614785	2
5H6	3	1495552329	2
5H6	3	 960069936	2
5H6	4	2382012759	2
5H6	4	1116547870	2
5H6	4	2675429717	2
5H6	5	2408894488	2
5H6	5	1560809582	2
5H6	5	2642080040	2
5H6	6	 748717398	2
5H6	6	3407635952	2
5H6	6	2281480825	2
5H6	7	3484813524	2
5H6	7	1587277849	2
5H6	7	3844997975	2
5H6	8	4137614672	2
5H6	8	 551138036	2
5H6	8	2422941026	2
5H6	9	2352291161	2
5H6	9	 705372104	2
5H6	9	  18111774	2
6E8	1	3647806283	2
6E8	1	4031154323	2
6E8	1	2140901780	2
6E8	10	 542820977	2
6E8	10	4188763480	2
6E8	10	3681822643	2
6E8	2	2242072202	2
6E8	2	1272477947	2
6E8	2	2507373732	2
6E8	3	3707840416	2
6E8	3	4257873717	2
6E8	3	2715815957	2
6E8	4	1796968894	2
6E8	4	1589145090	2
6E8	4	2005155878	2
6E8	5	1638561257	2
6E8	5	4080375322	2
6E8	5	1674393343	2
6E8	6	 489562573	2
6E8	6	3777449648	2
6E8	6	1895880511	2
6E8	7	 835332769	2
6E8	7	 991393913	2
6E8	7	 687945564	2
6E8	8	 196210603	2
6E8	8	2508339843	2
6E8	8	1152406272	2
6E8	9	2273995393	2
6E8	9	3183354221	2
6E8	9	 309359331	2
5A2	1	1735146099	2
5A2	1	1720534486	2
5A2	1	1376670715	2
5A2	10	887223654	2
5A2	10	596499620	2
5A2	10	4037895868	2
5A2	2	595998578	2
5A2	2	3136917577	2
5A2	2	2598288771	2
5A2	3	986296189	2
5A2	3	264337771	2
5A2	3	3807631512	2
5A2	4	2376635661	2
5A2	4	281553943	2
5A2	4	1449922871	2
5A2	5	1114512437	2
5A2	5	3827976295	2
5A2	5	3498133082	2
5A2	6	2907083061	2
5A2	6	2071495372	2
5A2	6	1325427549	2
5A2	7	817753180	2
5A2	7	3167880579	2
5A2	7	4117801844	2
5A2	8	2636845339	2
5A2	8	3293672777	2
5A2	8	230990558	2
5A2	9	1296493191	2
5A2	9	1721275304	2
5A2	9	667315208	2
5E9	1	3794904897	2
5E9	1	3815235791	2
5E9	1	1805005860	2
5E9	10	1071489626	2
5E9	10	3103233534	2
5E9	10	3563688156	2
5E9	2	1418232878	2
5E9	2	2438396347	2
5E9	2	4065176322	2
5E9	3	3871463289	2
5E9	3	1557388138	2
5E9	3	3614645836	2
5E9	4	4106865332	2
5E9	4	2528564919	2
5E9	4	138030006	2
5E9	5	127739248	2
5E9	5	3583093172	2
5E9	5	3037747431	2
5E9	6	4061425838	2
5E9	6	3139675888	2
5E9	6	1773188008	2
5E9	7	3553506049	2
5E9	7	2431126223	2
