ID	populations
04K5672	maize
04K5686	maize
04K5702	maize
05W002	maize
05WN230	maize
07KS4	maize
1323	maize
150	maize
177	maize
18-599	maize
238	maize
268	maize
303WX	maize
3411X	maize
384-2	maize
3H-2X	maize
4F1	maize
501	maize
5237	maize
526018	maize
5311	maize
5A1	mexicana
5A10	parviglumis
5A11	parviglumis
5A2	mexicana
5A3	mexicana
5A4	mexicana
5A5	mexicana
5A6	mexicana
5A7	mexicana
5A8	parviglumis
5A9	parviglumis
5B1	parviglumis
5B2	parviglumis
5B3	parviglumis
5B4	parviglumis
5B5	parviglumis
5B6	parviglumis
5B7	mexicana
5B8	mexicana
5B9	mexicana
5C1	parviglumis
5C10	parviglumis
5C11	parviglumis
5C12	parviglumis
5C2	parviglumis
5C3	parviglumis
5C4	parviglumis
5C5	parviglumis
5C6	parviglumis
5C7	parviglumis
5C8	parviglumis
5C9	parviglumis
5D10	parviglumis
5D11	parviglumis
5D12	parviglumis
5D4	parviglumis
5D9	mexicana
5E1	parviglumis
5E10	mexicana
5E11	mexicana
5E12	mexicana
5E2	parviglumis
5E3	parviglumis
5E4	parviglumis
5E5	parviglumis
5E6	parviglumis
5E7	mexicana
5E8	mexicana
5E9	mexicana
5F1	mexicana
5F10	mexicana
5F11	parviglumis
5F12	mexicana
5F2	mexicana
5F3	mexicana
5F4	mexicana
5F5	mexicana
5F6	mexicana
5F7	mexicana
5F8	parviglumis
5F9	parviglumis
5G1	mexicana
5G10	mexicana
5G11	teosinte_mixed
5G12	mexicana
5G2	mexicana
5G3	mexicana
5G4	teosinte_mixed
5G5	parviglumis
5G6	mexicana
5G7	mexicana
5G8	mexicana
5G9	mexicana
5H1	mexicana
5H10	parviglumis
5H11	parviglumis
5H12	parviglumis
5H2	mexicana
5H3	mexicana
5H4	mexicana
5H5	mexicana
5H6	teosinte_mixed
5H7	parviglumis
5H8	parviglumis
5H9	parviglumis
647	maize
6A1	mexicana
6A10	mexicana
6A11	mexicana
6A12	mexicana
6A2	mexicana
6A3	mexicana
6A4	mexicana
6A5	mexicana
6A6	mexicana
6A7	mexicana
6A8	mexicana
6A9	mexicana
6B1	mexicana
6B10	mexicana
6B11	mexicana
6B12	mexicana
6B2	mexicana
6B3	mexicana
6B4	mexicana
6B5	mexicana
6B6	mexicana
6B7	mexicana
6B8	mexicana
6B9	mexicana
6C1	mexicana
6C10	parviglumis
6C11	parviglumis
6C12	parviglumis
6C2	mexicana
6C3	mexicana
6C4	mexicana
6C5	mexicana
6C6	mexicana
6C7	mexicana
6C8	mexicana
6C9	mexicana
6D1	parviglumis
6D10	parviglumis
6D11	mexicana
6D12	parviglumis
6D2	parviglumis
6D3	parviglumis
6D4	parviglumis
6D5	parviglumis
6D6	parviglumis
6D7	parviglumis
6D8	parviglumis
6D9	parviglumis
6E1	mexicana
6E10	mexicana
6E2	parviglumis
6E3	parviglumis
6E4	parviglumis
6E5	mexicana
6E7	parviglumis
6E8	teosinte_mixed
6E9	mexicana
6F11	parviglumis
6F12	parviglumis
6G1	teosinte_mixed
6G10	teosinte_mixed
6G11	parviglumis
6G12	teosinte_mixed
6G2	teosinte_mixed
6G3	teosinte_mixed
6G4	teosinte_mixed
6G5	teosinte_mixed
6G6	parviglumis
6G7	teosinte_mixed
6G8	teosinte_mixed
6G9	teosinte_mixed
6H1	parviglumis
6H2	mexicana
6H3	mexicana
6H4	mexicana
6H5	parviglumis
6H6	parviglumis
6H7	parviglumis
6H8	parviglumis
6H9	parviglumis
7327	maize
7884-4HT	maize
81162	maize
812	maize
832	maize
835B	maize
8902	maize
9642	maize
975-12	maize
9782	maize
A619	maize
B11	maize
B110	maize
B111	maize
B113	maize
B114	maize
B151	maize
B73	maize
B77	maize
BEM	maize
BGY	maize
BK	maize
BS16	maize
BT1	maize
BY4839	maize
BY4944	maize
BY4960	maize
BY804	maize
BY807	maize
BY809	maize
BY813	maize
BY815	maize
BY843	maize
BY855	maize
BZN	maize
C8605	maize
CF3	maize
CHANG3	maize
CHANG7-2	maize
CHENG698	maize
CHUAN48-2	maize
CI7	maize
CIMBL1	maize
CIMBL10	maize
CIMBL100	maize
CIMBL101	maize
CIMBL102	maize
CIMBL104	maize
CIMBL105	maize
CIMBL106	maize
CIMBL107	maize
CIMBL108	maize
CIMBL11	maize
CIMBL110	maize
CIMBL111	maize
CIMBL112	maize
CIMBL113	maize
CIMBL114	maize
CIMBL115	maize
CIMBL116	maize
CIMBL117	maize
CIMBL118	maize
CIMBL119	maize
CIMBL120	maize
CIMBL121	maize
CIMBL122	maize
CIMBL123	maize
CIMBL124	maize
CIMBL125	maize
CIMBL126	maize
CIMBL127	maize
CIMBL128	maize
CIMBL129	maize
CIMBL13	maize
CIMBL130	maize
CIMBL131	maize
CIMBL132	maize
CIMBL133	maize
CIMBL134	maize
CIMBL135	maize
CIMBL136	maize
CIMBL137	maize
CIMBL138	maize
CIMBL139	maize
CIMBL14	maize
CIMBL140	maize
CIMBL141	maize
CIMBL142	maize
CIMBL143	maize
CIMBL144	maize
CIMBL145	maize
CIMBL146	maize
CIMBL147	maize
CIMBL148	maize
CIMBL149	maize
CIMBL15	maize
CIMBL150	maize
CIMBL151	maize
CIMBL152	maize
CIMBL153	maize
CIMBL154	maize
CIMBL155	maize
CIMBL156	maize
CIMBL157	maize
CIMBL16	maize
CIMBL17	maize
CIMBL18	maize
