# Wang et al 2017
gen	pop
0.0	28328579.7976
33.8313333333	28328579.7976
70.6923333333	28328579.7976
110.854666667	28328579.7976
154.613333333	478832.262186
202.291	478832.262186
254.238333333	478832.262186
310.837666667	478832.262186
372.506666667	28830.7737372
439.696666667	28830.7737372
512.903333333	28830.7737372
592.666666667	28830.7737372
679.573333333	8785.06117917
774.263333333	8785.06117917
877.433333333	8785.06117917
989.843333333	8785.06117917
1112.31666667	5562.49012658
1245.76333333	5562.49012658
1391.15666667	5562.49012658
1549.57	5562.49012658
1722.17	5126.59616572
1910.23	5126.59616572
2115.13	5286.05485868
2338.37666667	5286.05485868
2581.62	5708.7205273
2846.64333333	5708.7205273
3135.40333333	6380.09817695
3450.03333333	6380.09817695
3792.8	7312.44314575
4166.3	7312.44314575
4573.23333333	8527.37372239
5016.63333333	8527.37372239
5499.7	10045.7281546
6026.06666667	10045.7281546
6599.56666667	11884.9818992
7224.4	11884.9818992
7905.2	14058.647052
8646.96666667	14058.647052
9455.16666667	16579.1288663
10335.7333333	16579.1288663
11295.2	19452.6794121
12340.5333333	19452.6794121
13479.5	22677.3104891
14720.4666667	22677.3104891
16072.6	26242.6277898
17545.7666667	26242.6277898
19150.9	30129.1032072
20899.7666667	30129.1032072
22805.2333333	34296.1638369
24881.3666667	34296.1638369
27143.4	38662.6735857
29608.0333333	38662.6735857
32293.3666667	43097.3923492
35219.3333333	43097.3923492
38407.0	47418.1302273
41880.3333333	47418.1302273
45664.6666667	51414.1460882
49788.0	51414.1460882
54280.6666667	54894.081869
59175.3333333	54894.081869
64508.6666667	57734.6538403
70319.3333333	57734.6538403
76650.6666667	59904.8471408
83548.6666667	59904.8471408
91064.6666667	61467.953068
99253.6666667	61467.953068
108176.0	62572.4275849
117897.333333	62572.4275849
128489.333333	63455.8030332
140030.0	63455.8030332
152604.0	65134.4440059
166304.0	65134.4440059
181231.0	65134.4440059
197494.666667	65134.4440059
215215.0	71670.0996644
234522.0	71670.0996644
255558.0	71670.0996644
278478.0	71670.0996644
303450.666667	93093.7472654
330659.666667	93093.7472654
360306.666667	93093.7472654
392606.666667	93093.7472654
427800.0	153082.156132
466143.333333	153082.156132
507923.333333	153082.156132
553443.333333	153082.156132
603040.0	360825.337444
657076.666667	360825.337444
715953.333333	360825.337444
780103.333333	360825.337444
